VIN,Year,Make,Model,Trim,Mileage,Price,Stock #,Body Style,Drivetrain,Exterior Color,Interior Color,Vehicle URL,Main Image URL,Image URL 2,Image URL 3,Image URL 4,Image URL 5
1C6RR7LT8DS666620,2013,RAM,1500,SLT,138.922,19995,210296B,,,,,https://www.goodchev.com/used-Renton-2013-RAM-1500-SLT-1C6RR7LT8DS666620,/vehicles/210296B_1.jpg,,,,
1FT8W3DT0CEB48325,2012,Ford,Super Duty F 350 DRW,LARIAT,77326.0,41595,P57097A,,,,,https://www.goodchev.com/used-Renton-2012-Ford-Super+Duty+F+350+DRW-LARIAT-1FT8W3DT0CEB48325,/vehicles/P57097A_1.jpg,,,,
1HTKJPVK8MH316426,2021,Chevrolet,Silverado 4500 HD,LT,337.0,58955,P57786,,,,,https://www.goodchev.com/used-Renton-2021-Chevrolet-Silverado+4500+HD-LT-1HTKJPVK8MH316426,/vehicles/P57786_1.jpg,,,,
1G1ZD5ST6NF127154,2022,Chevrolet,Malibu,LT,35055.0,17595,P57801,,,,,https://www.goodchev.com/used-Renton-2022-Chevrolet-Malibu-LT-1G1ZD5ST6NF127154,/vehicles/P57801_1.jpg,,,,
3C6JR6DTXHG675130,2017,RAM,1500,Tradesman,47732.0,18995,P57882,,,,,https://www.goodchev.com/used-Renton-2017-RAM-1500-Tradesman-3C6JR6DTXHG675130,/vehicles/P57882_1.jpg,,,,
KL7CJLSM6MB377385,2021,Chevrolet,Trax,LT,30059.0,16868,P57986,,,,,https://www.goodchev.com/used-Renton-2021-Chevrolet-Trax-LT-KL7CJLSM6MB377385,/vehicles/P57986_1.jpg,,,,
2G1FP32G6W2129829,1998,Chevrolet,Camaro,Z28,65824.0,17424,P58108,,,,,https://www.goodchev.com/used-Renton-1998-Chevrolet-Camaro-Z28-2G1FP32G6W2129829,/vehicles/P58108_1.jpg,,,,
KL7CJLSM0MB376104,2021,Chevrolet,Trax,LT,26897.0,16818,P58141,,,,,https://www.goodchev.com/used-Renton-2021-Chevrolet-Trax-LT-KL7CJLSM0MB376104,/vehicles/P58141_1.jpg,,,,
WMZ83BR02R3R77094,2024,MINI,Cooper S,Countryman All4,26384.0,29098,P58274,,,,,https://www.goodchev.com/used-Renton-2024-MINI-Cooper+S-Countryman+All4-WMZ83BR02R3R77094,/vehicles/P58274_1.jpg,,,,
1G1ZD5ST8LF021317,2020,Chevrolet,Malibu,LT,62484.0,14995,P58316,,,,,https://www.goodchev.com/used-Renton-2020-Chevrolet-Malibu-LT-1G1ZD5ST8LF021317,/vehicles/P58316_1.jpg,,,,
2GNAXKEV2N6109923,2022,Chevrolet,Equinox,LT,66043.0,17600,P58403,,,,,https://www.goodchev.com/used-Renton-2022-Chevrolet-Equinox-LT-2GNAXKEV2N6109923,/vehicles/P58403_1.jpg,,,,
3N6CM0KNXLK699903,2020,Nissan,NV200 Compact Cargo,S,121106.0,16884,P58346,,,,,https://www.goodchev.com/used-Renton-2020-Nissan-NV200+Compact+Cargo-S-3N6CM0KNXLK699903,/vehicles/P58346_1.jpg,,,,
2T2AZMAA1MC207304,2021,Lexus, ,RX 350,47773.0,35458,P58423,,,,,https://www.goodchev.com/used-Renton-2021-Lexus-+-RX+350-2T2AZMAA1MC207304,/vehicles/P58423_1.jpg,,,,
1G1ZD5STXNF141834,2022,Chevrolet,Malibu,LT,55019.0,16442,P58471,,,,,https://www.goodchev.com/used-Renton-2022-Chevrolet-Malibu-LT-1G1ZD5STXNF141834,/vehicles/P58471_1.jpg,,,,
KL4AMBS2XRB062908,2024,Buick,Encore GX,Preferred,23759.0,21615,P58496,,,,,https://www.goodchev.com/used-Renton-2024-Buick-Encore+GX-Preferred-KL4AMBS2XRB062908,/vehicles/P58496_1.jpg,,,,
KNDJ23AU4P7859854,2023,Kia,Soul,LX,20901.0,15962,P58528,,,,,https://www.goodchev.com/used-Renton-2023-Kia-Soul-LX-KNDJ23AU4P7859854,/vehicles/P58528_1.jpg,,,,
WMW53DK06R2V07064,2024,MINI,Cooper S,Hardtop 4 Door,26129.0,25709,P58552,,,,,https://www.goodchev.com/used-Renton-2024-MINI-Cooper+S-Hardtop+4+Door-WMW53DK06R2V07064,/vehicles/P58552_1.jpg,,,,
1GYS4CKJ5JR196190,2018,Cadillac,Escalade,Premium Luxury,77098.0,35495,P58586,,,,,https://www.goodchev.com/used-Renton-2018-Cadillac-Escalade-Premium+Luxury-1GYS4CKJ5JR196190,/vehicles/P58586_1.jpg,/vehicles/P58586_2.jpg,/vehicles/P58586_3.jpg,/vehicles/P58586_4.jpg,/vehicles/P58586_5.jpg
1G1FG1R73R0100059,2024,Chevrolet,Camaro,2SS,1422.0,65887,P58611,,,,,https://www.goodchev.com/used-Renton-2024-Chevrolet-Camaro-2SS-1G1FG1R73R0100059,/vehicles/P58611_1.jpg,,,,
